recommendation_id,user_id,movie_id,recommendation_date,recommendation_type,recommendation_score,was_clicked,position_in_list,device_type,time_of_day,algorithm_version
rec_011731,user_05529,movie_0012,2025-04-09,trending,0.731,False,9,Laptop,afternoon,v1.4
rec_011732,user_01598,movie_0214,2025-06-22,genre_based,0.442,False,10,Smart TV,morning,v1.4
rec_011733,user_04029,movie_0881,2025-10-13,personalized,,False,5,Tablet,afternoon,v1.4
rec_011734,user_01241,movie_0160,2025-05-23,genre_based,0.101,False,9,Laptop,night,v2.0
rec_011735,user_08451,movie_0520,2025-02-26,new_releases,0.469,False,12,Mobile,afternoon,v1.2
rec_011736,user_05745,movie_0003,2025-01-26,new_releases,0.923,True,9,Mobile,evening,v1.2
rec_011737,user_07158,movie_0009,2025-07-17,genre_based,0.105,False,2,Laptop,night,v1.3
rec_011738,user_06326,movie_0971,2025-05-31,genre_based,,False,13,Smart TV,afternoon,v2.0
rec_011739,user_07509,movie_0489,2025-09-30,new_releases,0.508,False,8,Laptop,afternoon,v1.4
rec_011740,user_09485,movie_0550,2025-05-23,personalized,0.295,False,11,Mobile,night,v1.3
rec_011741,user_02829,movie_0183,2024-06-24,genre_based,0.157,True,12,Mobile,afternoon,v2.0
rec_011742,user_04069,movie_0790,2025-02-09,trending,0.867,False,4,Mobile,afternoon,v1.4
rec_011743,user_04333,movie_0243,2025-05-03,trending,0.436,False,8,Mobile,morning,v2.0
rec_011744,user_02961,movie_0885,2024-02-01,personalized,0.843,False,15,Laptop,afternoon,
rec_011745,user_04453,movie_0932,2024-04-11,personalized,0.801,True,5,Tablet,night,v1.4
rec_011746,user_07321,movie_0587,2024-07-29,similar_users,0.959,True,11,Smart TV,evening,v2.0
rec_011747,user_08445,movie_0426,2025-11-13,trending,0.118,False,16,Tablet,morning,v1.4
rec_011748,user_03526,movie_0351,2024-11-22,similar_users,0.401,False,5,Smart TV,night,v1.4
rec_011749,user_00382,movie_0976,2024-08-18,new_releases,0.794,False,16,Smart TV,morning,v1.3
rec_011750,user_02439,movie_0615,2025-09-25,new_releases,0.937,False,7,Smart TV,night,v1.4
rec_011751,user_06022,movie_0751,2024-08-05,personalized,0.65,False,4,Tablet,evening,v1.3
rec_011752,user_02744,movie_0277,2025-08-09,trending,0.887,False,6,Smart TV,night,v1.3
rec_011753,user_04357,movie_0374,2025-05-21,similar_users,0.576,False,13,Tablet,night,v1.4
rec_011754,user_07287,movie_0001,2024-01-13,genre_based,0.263,False,20,Smart TV,night,
rec_011755,user_01031,movie_0717,2024-06-21,trending,0.582,False,3,Smart TV,evening,v1.4
rec_011756,user_04004,movie_0837,2024-04-30,similar_users,0.161,False,7,Laptop,evening,v1.4
rec_011757,user_03338,movie_0214,2024-10-08,similar_users,0.382,False,14,Laptop,night,v1.4
rec_011758,user_05697,movie_0618,2025-03-12,similar_users,0.469,False,2,Mobile,evening,v1.4
rec_011759,user_07771,movie_0434,2024-05-23,personalized,0.52,False,11,Smart TV,night,
rec_011760,user_05575,movie_0076,2024-01-04,new_releases,0.931,True,19,Smart TV,evening,v2.0
rec_011761,user_08497,movie_0258,2024-08-25,new_releases,0.279,False,5,Laptop,night,v1.3
rec_011762,user_09330,movie_0723,2024-06-05,personalized,0.754,True,6,Smart TV,evening,v1.4
rec_011763,user_02088,movie_0194,2024-10-30,genre_based,0.234,False,20,Laptop,afternoon,v1.4
rec_011764,user_06539,movie_0340,2024-11-04,similar_users,0.531,False,16,Mobile,night,v1.4
rec_011765,user_09914,movie_0912,2025-06-29,personalized,0.746,True,11,Tablet,afternoon,v2.0
rec_011766,user_08147,movie_0694,2025-04-25,new_releases,,False,20,Tablet,morning,v1.4
rec_011767,user_00147,movie_0322,2024-10-10,trending,,False,17,Mobile,night,v1.4
rec_011768,user_03646,movie_0934,2025-04-15,new_releases,0.392,False,3,Mobile,afternoon,v1.4
rec_011769,user_08017,movie_0023,2025-01-28,personalized,0.113,False,20,Mobile,evening,v2.0
rec_011770,user_09192,movie_0046,2024-02-03,similar_users,,False,8,Mobile,night,v1.4
rec_011771,user_04185,movie_0576,2024-09-23,new_releases,0.317,False,8,Mobile,night,v1.3
rec_011772,user_04960,movie_0005,2025-12-12,trending,0.659,False,13,Mobile,morning,v1.4
rec_011773,user_08641,movie_0760,2024-12-24,similar_users,0.43,False,5,Smart TV,morning,v1.4
rec_011774,user_03831,movie_0472,2025-07-10,genre_based,0.791,False,17,Smart TV,morning,v1.3
rec_011775,user_02793,movie_0238,2025-07-09,new_releases,0.941,False,17,Tablet,night,v1.3
rec_011776,user_01477,movie_0625,2025-11-15,new_releases,0.405,False,8,Tablet,morning,v1.4
rec_011777,user_06162,movie_0346,2025-05-14,similar_users,0.308,False,3,Tablet,morning,v1.2
rec_011778,user_06026,movie_0002,2025-07-09,new_releases,0.117,False,4,Smart TV,morning,v1.4
rec_011779,user_07853,movie_0394,2024-04-20,similar_users,0.612,False,13,Tablet,afternoon,v1.3
rec_011780,user_05949,movie_0523,2024-01-23,similar_users,0.641,False,5,Tablet,afternoon,v1.4
rec_011781,user_09813,movie_0511,2025-10-26,personalized,0.765,False,9,Tablet,night,v1.3
rec_011782,user_06317,movie_0919,2024-03-23,similar_users,0.643,False,2,Laptop,morning,v1.3
rec_011783,user_05090,movie_0926,2024-10-16,personalized,,True,6,Laptop,morning,v1.4
rec_011784,user_06821,movie_0846,2024-07-29,genre_based,0.199,False,2,Smart TV,night,v2.0
rec_011785,user_03239,movie_0589,2024-04-02,personalized,,False,18,Laptop,morning,v1.4
rec_011786,user_05327,movie_0564,2025-12-07,genre_based,0.2,False,6,Laptop,night,v1.4
rec_011787,user_09094,movie_0493,2025-11-20,genre_based,0.576,False,2,Smart TV,night,v1.4
rec_011788,user_03416,movie_0372,2024-05-07,new_releases,0.827,True,17,Mobile,night,v2.0
rec_011789,user_02780,movie_0081,2025-04-16,new_releases,0.672,True,5,Laptop,night,v2.0
rec_011790,user_04260,movie_0316,2024-11-14,trending,0.933,False,1,Mobile,evening,v1.2
rec_011791,user_00362,movie_0130,2024-05-20,personalized,,False,10,Mobile,night,v1.2
rec_011792,user_07105,movie_0162,2025-06-24,genre_based,,False,1,Tablet,morning,v1.4
rec_011793,user_04068,movie_0730,2024-10-07,trending,0.305,False,2,Smart TV,night,v1.3
rec_011794,user_01041,movie_0983,2024-02-24,trending,0.806,False,4,Smart TV,morning,v1.2
rec_011795,user_04687,movie_0072,2024-05-10,personalized,0.808,False,20,Smart TV,afternoon,v1.3
rec_011796,user_00067,movie_0879,2025-01-21,similar_users,,False,3,Mobile,afternoon,v1.4
rec_011797,user_02079,movie_0121,2025-03-14,trending,0.626,False,13,Tablet,morning,v1.4
rec_011798,user_00190,movie_0413,2025-12-23,similar_users,0.881,False,12,Tablet,morning,v1.4
rec_011799,user_00434,movie_0075,2025-02-16,genre_based,0.261,False,18,Smart TV,evening,v1.4
rec_011800,user_04663,movie_0942,2024-02-04,personalized,0.771,False,7,Mobile,evening,
rec_011801,user_04542,movie_0721,2025-08-28,personalized,0.718,False,8,Mobile,evening,v1.4
rec_011802,user_09975,movie_0244,2024-09-10,personalized,0.819,True,20,Laptop,night,v1.4
rec_011803,user_06992,movie_0323,2025-04-14,new_releases,0.446,False,17,Smart TV,morning,v1.3
rec_011804,user_09820,movie_0097,2025-06-13,genre_based,,False,14,Tablet,morning,v1.4
rec_011805,user_03303,movie_0629,2024-05-16,new_releases,0.104,False,13,Mobile,night,
rec_011806,user_04229,movie_0525,2025-07-21,personalized,0.586,False,20,Laptop,morning,v1.4
rec_011807,user_07652,movie_0426,2024-02-20,trending,0.126,False,14,Mobile,morning,v1.4
rec_011808,user_04201,movie_0571,2024-04-10,personalized,0.834,False,15,Laptop,afternoon,v2.0
rec_011809,user_06946,movie_0148,2024-11-04,personalized,0.126,False,4,Laptop,evening,v1.3
rec_011810,user_00246,movie_0875,2025-03-01,genre_based,0.232,False,4,Laptop,morning,
rec_011811,user_08817,movie_0323,2025-02-26,similar_users,,False,1,Mobile,morning,
rec_011812,user_04088,movie_0612,2024-12-25,trending,0.138,False,16,Tablet,evening,v1.2
rec_011813,user_06998,movie_0334,2024-04-23,new_releases,0.462,False,2,Tablet,night,v1.2
rec_011814,user_02035,movie_0528,2025-09-11,new_releases,,False,1,Smart TV,morning,v1.3
rec_011815,user_03534,movie_0214,2025-08-03,trending,0.29,False,5,Tablet,morning,v1.3
rec_011816,user_00330,movie_0337,2025-05-14,genre_based,0.416,False,16,Tablet,afternoon,v2.0
rec_011817,user_08473,movie_0759,2024-08-15,personalized,0.165,False,1,Tablet,evening,v1.3
rec_011818,user_08259,movie_0635,2024-09-02,genre_based,0.27,False,4,Tablet,night,v1.2
rec_011819,user_05557,movie_0116,2024-10-31,personalized,0.381,False,16,Mobile,afternoon,v1.2
rec_011820,user_05094,movie_0095,2024-04-29,genre_based,0.102,False,14,Tablet,morning,v1.4
rec_011821,user_02035,movie_0273,2024-07-18,similar_users,0.569,False,3,Mobile,morning,v1.4
rec_011822,user_01951,movie_0749,2024-10-05,personalized,0.748,False,13,Mobile,afternoon,v1.4
rec_011823,user_08441,movie_0578,2024-06-29,trending,,False,3,Smart TV,night,v1.2
rec_011824,user_01771,movie_0468,2024-08-09,personalized,0.254,False,13,Mobile,evening,v1.3
rec_011825,user_00087,movie_0623,2025-12-29,genre_based,0.92,False,15,Laptop,night,v1.3
rec_011826,user_03467,movie_0206,2024-09-22,new_releases,0.871,False,12,Tablet,evening,v2.0
rec_011827,user_01221,movie_0137,2024-03-22,genre_based,,False,5,Mobile,evening,v2.0
rec_011828,user_03156,movie_0284,2025-10-15,new_releases,0.873,False,4,Smart TV,afternoon,v1.2
rec_011829,user_00429,movie_0724,2024-05-27,new_releases,0.312,False,19,Laptop,night,v1.4
rec_011830,user_09934,movie_0812,2025-03-24,new_releases,0.529,False,7,Mobile,morning,v1.4
rec_011831,user_02780,movie_0929,2025-05-30,personalized,0.111,False,4,Smart TV,afternoon,v1.3
rec_011832,user_09369,movie_0979,2024-04-21,trending,,True,8,Mobile,night,v1.3
rec_011833,user_06251,movie_0137,2024-11-23,new_releases,0.285,False,17,Mobile,afternoon,v1.3
rec_011834,user_02700,movie_0621,2025-05-12,personalized,,True,6,Smart TV,night,v1.4
rec_011835,user_09787,movie_0514,2024-04-29,similar_users,0.557,False,18,Smart TV,afternoon,v1.4
rec_011836,user_02694,movie_0218,2025-09-06,trending,0.836,False,4,Tablet,evening,v1.4
rec_011837,user_06301,movie_0206,2024-06-02,new_releases,0.138,True,8,Smart TV,night,v1.4
rec_011838,user_02339,movie_0403,2024-11-18,new_releases,0.603,False,20,Smart TV,morning,v1.3
rec_011839,user_02008,movie_0376,2025-11-07,trending,0.614,False,7,Tablet,afternoon,v1.2
rec_011840,user_05761,movie_0517,2024-06-07,trending,0.643,False,12,Smart TV,evening,
rec_011841,user_08862,movie_0131,2024-06-19,new_releases,0.433,False,20,Smart TV,evening,v1.4
rec_011842,user_01946,movie_0381,2024-09-30,trending,0.251,False,7,Mobile,morning,
rec_011843,user_03380,movie_0220,2025-11-07,new_releases,0.229,True,9,Tablet,night,v2.0
rec_011844,user_06009,movie_0701,2025-06-17,similar_users,0.322,False,10,Tablet,afternoon,v1.3
rec_011845,user_03275,movie_0519,2025-08-08,trending,0.269,False,9,Smart TV,night,v1.4
rec_011846,user_03246,movie_0583,2024-11-26,new_releases,0.667,False,8,Smart TV,afternoon,v1.4
rec_011847,user_00523,movie_0522,2025-01-15,personalized,0.972,True,10,Smart TV,evening,v1.4
rec_011848,user_02862,movie_0428,2025-03-16,personalized,0.25,False,16,Smart TV,night,v1.3
rec_011849,user_06683,movie_0796,2025-02-05,similar_users,0.289,False,6,Mobile,morning,v1.4
rec_011850,user_06664,movie_0622,2025-11-23,personalized,0.18,False,3,Tablet,morning,v2.0
rec_011851,user_02600,movie_0663,2025-06-13,personalized,0.195,False,9,Smart TV,morning,v1.3
rec_011852,user_09048,movie_0734,2025-02-26,similar_users,0.554,True,16,Laptop,morning,v1.4
rec_011853,user_07612,movie_0166,2024-02-29,trending,0.876,True,16,Smart TV,night,v1.4
rec_011854,user_02717,movie_0543,2025-11-07,genre_based,0.837,True,4,Mobile,afternoon,v2.0
rec_011855,user_03634,movie_0390,2024-07-24,personalized,0.362,False,5,Tablet,night,v1.4
rec_011856,user_08642,movie_0094,2025-12-23,genre_based,0.369,False,5,Mobile,evening,v1.4
rec_011857,user_03114,movie_0404,2024-06-02,trending,0.176,False,19,Mobile,evening,v1.3
rec_011858,user_00250,movie_0267,2024-03-14,new_releases,0.509,True,2,Laptop,night,v1.4
rec_011859,user_02575,movie_0875,2024-09-23,trending,0.177,False,20,Smart TV,evening,v1.3
rec_011860,user_05562,movie_0904,2024-09-14,personalized,0.584,False,17,Mobile,evening,v1.3
rec_011861,user_00901,movie_0932,2025-02-22,genre_based,0.698,False,13,Smart TV,morning,v1.2
rec_011862,user_05669,movie_0300,2025-10-09,trending,0.974,True,11,Tablet,afternoon,v2.0
rec_011863,user_02006,movie_0386,2024-02-21,personalized,0.332,False,6,Smart TV,afternoon,
rec_011864,user_02508,movie_0611,2024-02-15,genre_based,,False,7,Tablet,afternoon,v1.4
rec_011865,user_08480,movie_0942,2025-03-23,genre_based,0.522,False,1,Smart TV,night,v1.3
rec_011866,user_06036,movie_0250,2024-07-19,similar_users,0.689,False,9,Smart TV,morning,v1.2
rec_011867,user_09985,movie_0115,2025-12-06,trending,0.218,False,14,Laptop,afternoon,v2.0
rec_011868,user_09867,movie_0529,2024-05-28,personalized,0.945,False,4,Smart TV,morning,v1.4
rec_011869,user_01563,movie_0117,2024-04-04,similar_users,0.435,False,3,Smart TV,night,v1.4
rec_011870,user_02152,movie_0583,2025-03-03,genre_based,0.973,True,5,Mobile,evening,v1.4
rec_011871,user_01318,movie_0261,2024-08-19,similar_users,0.122,False,18,Laptop,morning,v1.3
rec_011872,user_07865,movie_0395,2024-03-07,new_releases,0.428,False,9,Smart TV,afternoon,v1.4
rec_011873,user_02523,movie_0422,2024-10-13,new_releases,0.614,False,20,Tablet,afternoon,v1.4
rec_011874,user_08985,movie_0525,2025-06-16,similar_users,0.788,True,6,Smart TV,afternoon,
rec_011875,user_01674,movie_0363,2025-02-10,trending,0.942,False,6,Laptop,afternoon,v1.4
rec_011876,user_03372,movie_0035,2024-07-23,genre_based,0.624,True,2,Laptop,morning,v1.4
rec_011877,user_05543,movie_0085,2025-03-26,genre_based,0.165,False,13,Smart TV,morning,v2.0
rec_011878,user_00751,movie_0956,2024-11-26,similar_users,0.146,False,2,Mobile,morning,v1.4
rec_011879,user_08391,movie_0813,2024-03-11,trending,0.361,False,1,Mobile,evening,v2.0
rec_011880,user_07088,movie_0039,2024-07-01,similar_users,0.476,False,2,Tablet,night,v1.2
rec_011881,user_01030,movie_0127,2025-10-16,new_releases,0.998,False,7,Smart TV,morning,v1.3
rec_011882,user_02235,movie_0339,2025-10-23,personalized,0.372,False,5,Mobile,morning,v1.3
rec_011883,user_02727,movie_0357,2024-04-17,genre_based,0.852,False,14,Tablet,morning,v1.4
rec_011884,user_01987,movie_0934,2024-06-26,genre_based,,False,17,Laptop,afternoon,v2.0
rec_011885,user_00365,movie_0087,2025-06-28,genre_based,0.823,False,20,Laptop,evening,v1.3
rec_011886,user_04217,movie_0480,2024-06-27,personalized,0.605,False,13,Laptop,afternoon,v1.2
rec_011887,user_06528,movie_0349,2025-09-26,similar_users,0.471,True,6,Smart TV,morning,v1.3
rec_011888,user_05064,movie_0659,2025-09-17,similar_users,0.226,True,7,Mobile,night,v1.3
rec_011889,user_07540,movie_0759,2024-08-11,genre_based,,False,17,Mobile,evening,v1.3
rec_011890,user_04040,movie_0075,2024-08-24,trending,0.478,False,15,Laptop,morning,v1.3
rec_011891,user_03169,movie_0984,2025-08-15,new_releases,0.415,True,4,Mobile,evening,v2.0
rec_011892,user_00937,movie_0808,2024-06-28,similar_users,0.214,False,19,Mobile,morning,v2.0
rec_011893,user_03201,movie_0716,2025-12-27,similar_users,0.689,False,6,Smart TV,morning,v1.3
rec_011894,user_07989,movie_0091,2025-08-05,personalized,0.368,False,3,Tablet,night,v2.0
rec_011895,user_03601,movie_0336,2025-05-18,similar_users,0.801,False,3,Laptop,afternoon,v1.2
rec_011896,user_08391,movie_0924,2025-04-02,trending,0.675,False,12,Mobile,night,v1.4
rec_011897,user_07900,movie_0700,2024-02-01,genre_based,0.68,False,11,Laptop,night,v1.4
rec_011898,user_01496,movie_0093,2024-08-22,personalized,,False,16,Mobile,night,v1.3
rec_011899,user_03958,movie_0857,2025-10-14,personalized,0.824,False,7,Tablet,evening,v1.4
rec_011900,user_04993,movie_0286,2025-12-17,new_releases,0.924,False,19,Laptop,morning,v1.4
rec_011901,user_03042,movie_0838,2024-12-15,new_releases,0.363,False,18,Mobile,afternoon,v1.2
rec_011902,user_06061,movie_0093,2024-12-21,personalized,0.743,False,5,Smart TV,morning,v2.0
rec_011903,user_07279,movie_0596,2024-07-17,trending,0.148,False,3,Laptop,evening,v1.4
rec_011904,user_09944,movie_0600,2024-03-23,genre_based,0.181,False,15,Smart TV,night,v1.4
rec_011905,user_04421,movie_0289,2024-05-25,new_releases,0.719,False,1,Tablet,morning,v1.4
rec_011906,user_04591,movie_0052,2024-12-30,genre_based,0.277,True,8,Laptop,night,v1.4
rec_011907,user_06287,movie_0172,2024-12-28,trending,0.146,False,1,Tablet,afternoon,v2.0
rec_011908,user_08363,movie_0122,2024-09-19,new_releases,0.766,False,9,Tablet,evening,v1.3
rec_011909,user_09938,movie_0572,2025-03-06,similar_users,,True,12,Mobile,afternoon,v1.4
rec_011910,user_05218,movie_0472,2024-05-22,genre_based,0.861,True,17,Smart TV,afternoon,v1.3
rec_011911,user_04386,movie_0235,2025-08-19,genre_based,0.126,False,19,Tablet,morning,v1.4
rec_011912,user_02824,movie_0652,2025-09-30,genre_based,0.731,False,4,Smart TV,morning,v1.4
rec_011913,user_05341,movie_0703,2024-03-20,similar_users,0.727,False,15,Tablet,morning,v1.3
rec_011914,user_07860,movie_0323,2025-04-15,genre_based,0.715,False,6,Mobile,afternoon,v1.4
rec_011915,user_04258,movie_0451,2025-01-12,genre_based,0.981,False,12,Smart TV,afternoon,v2.0
rec_011916,user_09484,movie_0782,2024-09-01,trending,0.784,False,6,Smart TV,evening,v1.4
rec_011917,user_07241,movie_0857,2024-01-05,personalized,0.544,False,15,Mobile,evening,v1.4
rec_011918,user_09638,movie_0743,2024-09-02,personalized,0.363,False,8,Laptop,afternoon,v2.0
rec_011919,user_01554,movie_0027,2025-12-15,similar_users,0.88,False,16,Mobile,night,v1.3
rec_011920,user_09094,movie_0529,2024-07-01,similar_users,0.1,True,19,Tablet,morning,v1.3
rec_011921,user_04446,movie_0219,2025-02-10,new_releases,0.316,False,17,Smart TV,afternoon,v1.4
rec_011922,user_04506,movie_0991,2025-01-30,trending,,False,1,Laptop,evening,v1.4
rec_011923,user_05746,movie_0709,2024-12-28,similar_users,0.146,False,3,Laptop,night,v1.2
rec_011924,user_07440,movie_0746,2025-12-20,trending,0.823,True,16,Smart TV,afternoon,v1.4
rec_011925,user_08117,movie_0725,2024-07-04,new_releases,0.949,False,13,Tablet,evening,
rec_011926,user_01726,movie_0412,2024-08-15,genre_based,,False,16,Smart TV,morning,v1.3
rec_011927,user_08255,movie_0318,2025-11-25,new_releases,0.675,False,9,Tablet,night,v1.3
rec_011928,user_07427,movie_0387,2024-11-17,genre_based,0.196,False,2,Smart TV,night,v1.3
rec_011929,user_00410,movie_0379,2024-01-09,trending,0.298,False,18,Smart TV,night,v1.3
rec_011930,user_05113,movie_0965,2024-05-29,trending,,False,1,Mobile,night,v1.4
rec_011931,user_04691,movie_0193,2025-11-08,similar_users,0.907,False,12,Tablet,evening,v1.4
rec_011932,user_03947,movie_0411,2025-02-22,similar_users,0.672,False,9,Mobile,night,v1.3
rec_011933,user_00537,movie_0346,2025-09-26,new_releases,0.397,True,16,Smart TV,afternoon,v2.0
rec_011934,user_03109,movie_0531,2024-07-10,trending,0.27,False,13,Laptop,evening,v1.3
rec_011935,user_03791,movie_0178,2025-02-05,similar_users,0.681,False,3,Smart TV,evening,v1.3
rec_011936,user_03344,movie_0341,2025-03-12,genre_based,0.185,False,6,Smart TV,evening,v1.4
rec_011937,user_07039,movie_0054,2025-11-24,new_releases,0.198,False,6,Smart TV,night,v1.3
rec_011938,user_00589,movie_0399,2024-01-26,personalized,0.867,False,9,Tablet,afternoon,v1.4
rec_011939,user_07273,movie_0182,2025-09-28,personalized,0.611,False,14,Mobile,evening,v2.0
rec_011940,user_03088,movie_0231,2025-08-04,trending,,False,13,Mobile,night,v2.0
rec_011941,user_03053,movie_0878,2025-05-10,trending,0.524,False,12,Tablet,night,v1.3
rec_011942,user_08920,movie_0172,2024-12-27,personalized,0.761,True,6,Tablet,morning,v1.3
rec_011943,user_09340,movie_0067,2025-03-17,similar_users,0.23,True,8,Laptop,evening,v1.4
rec_011944,user_01839,movie_0872,2024-06-30,new_releases,0.912,False,3,Laptop,evening,
rec_011945,user_07874,movie_0742,2024-09-06,similar_users,0.701,False,14,Tablet,night,v1.4
rec_011946,user_09002,movie_0015,2024-12-02,trending,0.412,False,19,Laptop,night,v1.3
rec_011947,user_03973,movie_0545,2025-05-28,trending,0.284,False,9,Smart TV,night,v1.3
rec_011948,user_05866,movie_0922,2025-09-29,personalized,0.23,False,7,Smart TV,morning,v1.3
rec_011949,user_01159,movie_0987,2024-10-30,new_releases,0.351,True,4,Smart TV,evening,
rec_011950,user_00419,movie_0395,2024-11-12,similar_users,0.344,False,16,Tablet,evening,v1.4
rec_011951,user_05035,movie_0040,2025-07-22,trending,0.298,True,2,Tablet,night,v1.4
rec_011952,user_03160,movie_0075,2024-03-31,trending,,False,19,Mobile,morning,v2.0
rec_011953,user_09361,movie_0872,2024-05-09,trending,0.376,False,2,Tablet,morning,v2.0
rec_011954,user_08225,movie_0910,2024-08-10,trending,0.15,False,4,Tablet,evening,v1.2
rec_011955,user_04951,movie_0562,2025-06-03,personalized,0.185,False,20,Mobile,afternoon,v1.3
rec_011956,user_06449,movie_0943,2025-12-09,new_releases,0.835,True,13,Tablet,morning,v1.3
rec_011957,user_00089,movie_0631,2025-10-08,personalized,0.844,False,6,Mobile,morning,v1.4
rec_011958,user_05391,movie_0702,2025-10-25,personalized,0.807,True,9,Laptop,evening,v1.4
rec_011959,user_01988,movie_0787,2025-07-10,similar_users,0.704,False,2,Smart TV,morning,v2.0
rec_011960,user_06194,movie_0915,2025-08-13,similar_users,0.598,True,16,Tablet,morning,v1.3
rec_011961,user_02660,movie_0606,2024-09-13,new_releases,0.775,False,3,Smart TV,afternoon,v1.3
rec_011962,user_07777,movie_0819,2025-11-07,new_releases,0.892,False,2,Laptop,afternoon,v1.2
rec_011963,user_06923,movie_0479,2024-12-19,trending,0.459,False,2,Mobile,night,v1.4
rec_011964,user_03149,movie_0310,2025-11-05,similar_users,0.853,True,3,Mobile,evening,v2.0
rec_011965,user_02584,movie_0423,2024-05-07,genre_based,,True,7,Laptop,night,v1.4
rec_011966,user_03428,movie_0461,2024-04-02,new_releases,0.461,False,2,Laptop,evening,v2.0
rec_011967,user_04533,movie_0295,2025-11-22,genre_based,0.294,True,7,Laptop,night,v1.4
rec_011968,user_01503,movie_0502,2025-06-27,new_releases,0.274,False,15,Tablet,evening,v1.3
rec_011969,user_08631,movie_0629,2024-01-17,trending,0.185,False,9,Mobile,evening,v1.4
rec_011970,user_03142,movie_0514,2024-09-15,new_releases,0.166,False,12,Smart TV,evening,v1.4
rec_011971,user_08749,movie_0085,2025-10-06,new_releases,0.601,False,8,Mobile,night,v2.0
rec_011972,user_05348,movie_0922,2025-10-08,similar_users,0.673,False,14,Tablet,morning,v1.3
rec_011973,user_06194,movie_0891,2025-02-03,personalized,0.373,False,18,Smart TV,morning,v1.2
rec_011974,user_01428,movie_0100,2025-10-12,new_releases,0.364,True,1,Smart TV,morning,v2.0
rec_011975,user_07366,movie_0676,2024-09-13,new_releases,0.553,True,6,Mobile,afternoon,v1.4
rec_011976,user_09147,movie_0381,2024-11-07,personalized,0.437,False,19,Smart TV,morning,v1.4
rec_011977,user_08427,movie_0503,2024-01-07,new_releases,0.844,False,13,Tablet,afternoon,v1.4
rec_011978,user_01204,movie_0680,2025-06-28,genre_based,0.135,False,20,Mobile,night,v1.2
rec_011979,user_08214,movie_0511,2024-11-05,new_releases,0.35,False,5,Smart TV,evening,v2.0
rec_011980,user_00231,movie_0766,2024-11-03,genre_based,0.602,False,13,Tablet,evening,v1.4
rec_011981,user_09596,movie_0236,2024-10-23,personalized,0.46,False,17,Laptop,evening,v1.4
rec_011982,user_03168,movie_0270,2024-03-01,genre_based,0.921,False,7,Mobile,evening,v1.3
rec_011983,user_02376,movie_0625,2025-11-14,genre_based,0.562,True,13,Laptop,night,v1.4
rec_011984,user_01023,movie_0072,2025-12-27,personalized,0.797,True,4,Mobile,afternoon,v1.4
rec_011985,user_07919,movie_0622,2025-03-19,personalized,0.71,False,3,Mobile,evening,v1.4
rec_011986,user_02233,movie_0785,2024-08-10,personalized,,False,8,Smart TV,afternoon,v2.0
rec_011987,user_02593,movie_0517,2024-03-25,new_releases,0.69,False,14,Laptop,morning,v2.0
rec_011988,user_01971,movie_0178,2024-10-26,personalized,0.181,False,14,Laptop,morning,
rec_011989,user_09831,movie_0967,2025-04-15,new_releases,,False,12,Tablet,evening,v1.4
rec_011990,user_00961,movie_0406,2024-08-18,similar_users,0.802,False,16,Tablet,afternoon,v1.2
rec_011991,user_02909,movie_0794,2025-09-03,similar_users,0.544,False,9,Laptop,morning,v2.0
rec_011992,user_05558,movie_0776,2024-11-22,new_releases,0.739,False,17,Smart TV,night,v2.0
rec_011993,user_08512,movie_0279,2025-08-17,new_releases,0.522,False,19,Mobile,afternoon,v1.4
rec_011994,user_03938,movie_0554,2024-11-23,genre_based,,True,19,Smart TV,night,v2.0
rec_011995,user_04363,movie_0973,2025-06-22,new_releases,0.685,False,5,Tablet,night,v1.3
rec_011996,user_04213,movie_0409,2025-12-22,similar_users,0.649,False,14,Smart TV,evening,v1.3
rec_011997,user_02047,movie_0751,2024-08-18,trending,,True,1,Smart TV,morning,v1.3
rec_011998,user_05910,movie_0506,2024-05-08,personalized,0.132,False,16,Mobile,afternoon,v1.2
rec_011999,user_09175,movie_0535,2025-06-24,personalized,0.894,False,4,Smart TV,evening,v2.0
rec_012000,user_05623,movie_0064,2025-06-19,trending,0.663,False,3,Mobile,evening,v1.4
rec_012001,user_02084,movie_0003,2025-06-09,new_releases,0.952,False,4,Tablet,morning,v2.0
rec_012002,user_00957,movie_0888,2025-12-10,similar_users,,False,17,Laptop,morning,v1.3
rec_012003,user_00399,movie_0996,2024-04-07,personalized,0.66,False,11,Laptop,afternoon,v1.4
rec_012004,user_01534,movie_0402,2024-06-13,trending,0.559,True,14,Mobile,night,v1.3
rec_012005,user_04780,movie_0559,2024-09-18,trending,0.525,True,4,Smart TV,night,v1.4
rec_012006,user_07653,movie_0779,2025-06-27,personalized,0.934,False,11,Laptop,morning,v1.4
rec_012007,user_09172,movie_0068,2024-11-14,new_releases,0.299,False,16,Smart TV,night,v1.4
rec_012008,user_00680,movie_0523,2025-11-26,trending,0.399,False,9,Laptop,afternoon,
rec_012009,user_03388,movie_0801,2025-06-09,genre_based,0.836,False,1,Laptop,afternoon,v1.4
rec_012010,user_06028,movie_0898,2024-07-28,similar_users,0.513,False,16,Smart TV,night,v1.4
rec_012011,user_04205,movie_0410,2025-08-04,genre_based,,False,4,Mobile,morning,v1.4
rec_012012,user_00914,movie_0645,2025-12-27,trending,0.46,False,14,Laptop,evening,v1.3
